,t_good_pred,t_brier,t_entropy,t_confidence
0,1,0.0,1.1920930376163597e-07,1.0
1,0,2.0,1.1920930376163597e-07,1.0
2,0,2.0,1.1920930376163597e-07,1.0
3,0,2.0,1.1920930376163597e-07,1.0
4,0,2.0,1.1920930376163597e-07,1.0
5,0,2.0,1.1920930376163597e-07,1.0
6,0,2.0,1.1920930376163597e-07,1.0
7,0,1.999999761581421,1.350004822597839e-06,0.9999998807907104
8,0,2.0,1.1920930376163597e-07,1.0
9,0,2.0,4.987274451195844e-07,1.0
10,0,2.0,1.1920930376163597e-07,1.0
11,0,2.0,1.1920930376163597e-07,1.0
12,0,2.0,1.1920930376163597e-07,1.0
13,0,2.0,1.1920930376163597e-07,1.0
14,0,2.0,1.1920930376163597e-07,1.0
15,0,2.0,1.1920930376163597e-07,1.0
16,0,2.0,1.1920930376163597e-07,1.0
17,1,0.0,1.1920930376163597e-07,1.0
18,1,0.0,1.1920930376163597e-07,1.0
19,0,2.0,1.1920930376163597e-07,1.0
20,0,2.0,1.1920930376163597e-07,1.0
21,1,0.0,1.1920930376163597e-07,1.0
22,0,2.0,1.1920930376163597e-07,1.0
23,0,2.0,1.1920930376163597e-07,1.0
24,0,2.0,1.1920930376163597e-07,1.0
25,0,2.0,1.1920930376163597e-07,1.0
26,0,2.0,1.1920930376163597e-07,1.0
27,0,2.0,1.1920930376163597e-07,1.0
28,0,2.0,1.1920930376163597e-07,1.0
29,0,1.932265281677246,0.15204381942749023,0.9649006724357605
30,0,2.0,1.1920930376163597e-07,1.0
31,1,0.0,1.1920930376163597e-07,1.0
32,0,2.0,1.1920930376163597e-07,1.0
33,0,2.0,1.1920931797249068e-07,1.0
34,0,2.0,1.1920930376163597e-07,1.0
35,0,2.0,1.1920930376163597e-07,1.0
36,1,0.0,1.1920930376163597e-07,1.0
37,0,2.0,1.1920930376163597e-07,1.0
38,0,2.0,1.1920930376163597e-07,1.0
39,0,2.0,1.1920930376163597e-07,1.0
40,0,2.0,1.1920930376163597e-07,1.0
41,1,0.0,1.1920930376163597e-07,1.0
42,0,2.0,1.1920930376163597e-07,1.0
43,1,0.0,1.1920930376163597e-07,1.0
44,0,2.0,1.1920930376163597e-07,1.0
45,0,2.0,1.1920930376163597e-07,1.0
46,0,2.0,1.1920930376163597e-07,1.0
47,1,0.0,1.1920930376163597e-07,1.0
48,0,2.0,1.1920930376163597e-07,1.0
49,0,2.0,1.1920930376163597e-07,1.0
50,0,2.0,1.1920930376163597e-07,1.0
51,0,2.0,1.1920930376163597e-07,1.0
52,0,2.0,1.1920930376163597e-07,1.0
53,0,2.0,1.1920930376163597e-07,1.0
54,0,2.0,1.1920930376163597e-07,1.0
55,0,2.0,1.1920930376163597e-07,1.0
56,0,2.0,1.1920930376163597e-07,1.0
57,0,2.0,1.1920930376163597e-07,1.0
58,0,2.0,1.1920930376163597e-07,1.0
59,0,1.9999995231628418,1.566920218465384e-06,0.9999998807907104
60,0,2.0,1.1920930376163597e-07,1.0
61,1,0.0,1.1920930376163597e-07,1.0
62,0,2.0,1.1920930376163597e-07,1.0
63,0,2.0,1.1920930376163597e-07,1.0
64,1,0.0,1.1920930376163597e-07,1.0
65,1,0.0,1.1920930376163597e-07,1.0
66,0,2.0,1.1920930376163597e-07,1.0
