,t_good_pred,t_brier,t_entropy,t_confidence
0,False,8.0,1.1920930376163597e-07,1.0
1,False,10.0,1.1920930376163597e-07,1.0
2,False,8.0,1.1920930376163597e-07,1.0
3,False,8.0,1.1920930376163597e-07,1.0
4,False,8.0,1.1920930376163597e-07,1.0
5,False,10.0,1.1920930376163597e-07,1.0
6,False,10.0,1.1920930376163597e-07,1.0
7,False,8.0,1.1920930376163597e-07,1.0
8,False,8.0,1.1920930376163597e-07,1.0
9,False,8.0,1.1920930376163597e-07,1.0
10,False,8.0,1.1920930376163597e-07,1.0
11,False,8.0,1.1920930376163597e-07,1.0
12,False,10.0,1.1920930376163597e-07,1.0
13,False,7.999754428863525,0.001228415290825069,0.9998772144317627
14,False,8.0,1.1920930376163597e-07,1.0
15,True,8.0,1.1920930376163597e-07,1.0
16,False,8.0,1.1920930376163597e-07,1.0
17,False,8.0,1.1920930376163597e-07,1.0
18,False,8.0,1.1920930376163597e-07,1.0
19,False,8.0,1.1920930376163597e-07,1.0
20,True,8.0,1.1920930376163597e-07,1.0
21,False,8.0,1.1920930376163597e-07,1.0
22,False,8.0,1.1920930376163597e-07,1.0
23,False,8.0,1.1920930376163597e-07,1.0
24,False,8.0,2.455949925206369e-06,0.9999998807907104
25,False,8.0,1.1920930376163597e-07,1.0
26,False,8.0,1.1920930376163597e-07,1.0
27,False,10.0,1.1920930376163597e-07,1.0
28,True,8.0,1.1920930376163597e-07,1.0
29,False,10.0,1.1920930376163597e-07,1.0
30,False,8.0,1.1920930376163597e-07,1.0
31,False,8.0,1.1921760290078964e-07,1.0
32,False,9.0,1.1920930376163597e-07,1.0
33,False,9.0,1.1920930376163597e-07,1.0
34,False,9.0,1.1920930376163597e-07,1.0
35,False,9.0,1.1920930376163597e-07,1.0
36,True,9.0,1.5420108923080988e-07,1.0
37,False,9.0,1.1920930376163597e-07,1.0
38,True,9.0,1.1920930376163597e-07,1.0
39,False,9.0,1.1920930376163597e-07,1.0
40,True,9.0,1.1920930376163597e-07,1.0
41,True,9.0,1.1920930376163597e-07,1.0
42,True,9.0,1.1920930376163597e-07,1.0
43,False,9.0,1.1920930376163597e-07,1.0
44,False,9.0,1.1920930376163597e-07,1.0
45,False,9.0,1.1920930376163597e-07,1.0
46,False,9.0,1.1920930376163597e-07,1.0
47,True,9.0,1.1920930376163597e-07,1.0
48,False,9.0,1.1920930376163597e-07,1.0
49,False,9.0,1.1920930376163597e-07,1.0
50,True,9.0,1.1920930376163597e-07,1.0
51,False,9.0,1.1920930376163597e-07,1.0
52,False,9.0,1.1920930376163597e-07,1.0
53,False,9.0,1.192093321833454e-07,1.0
54,False,9.0,1.1920930376163597e-07,1.0
55,False,9.0,1.1920930376163597e-07,1.0
56,False,9.0,1.1920930376163597e-07,1.0
57,True,9.0,1.1920930376163597e-07,1.0
58,False,9.0,1.1920930376163597e-07,1.0
59,False,9.0,1.1920930376163597e-07,1.0
60,True,9.0,1.1920930376163597e-07,1.0
61,True,9.0,1.1920930376163597e-07,1.0
62,True,9.0,1.1920930376163597e-07,1.0
63,False,9.0,1.1920930376163597e-07,1.0
64,False,9.0,1.1920930376163597e-07,1.0
65,True,9.0,1.1920930376163597e-07,1.0
66,False,9.0,1.1920930376163597e-07,1.0
67,False,9.0,1.1920930376163597e-07,1.0
68,False,9.0,1.1920930376163597e-07,1.0
